id;start_date;end_date;language
1;2024-04-11T16:59:59;2024-04-11T14:50:14;ENGLISH
2;2024-04-11T02:27:34;2024-04-11T11:53:03;FRENCH
3;2024-04-11T12:23:46;2024-04-11T00:28:54;SPANISH
4;2024-04-11T16:54:35;2024-04-10T22:20:54;FRENCH
5;2024-04-11T19:10:58;2024-04-11T03:29:56;ENGLISH
6;2024-04-11T04:41:41;2024-04-11T18:42:01;SPANISH
7;2024-04-11T12:45:29;2024-04-10T23:19:38;FRENCH
8;2024-04-11T03:11:22;2024-04-10T23:47:11;FRENCH
9;2024-04-11T04:03:00;2024-04-11T15:34:26;FRENCH
10;2024-04-10T23:59:58;2024-04-11T16:57:27;FRENCH
